2020-12-16 11:03:13,804 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2020-12-16 11:03:18,262 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://172.16.35.123:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=11156&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Csubscribe%2Cunsubscribe%2Cunregister%2Cregister%26pid%3D11156%26register.ip%3D10.10.102.187%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1608087797543&timestamp=1608087797613, dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,335 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,339 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.10.102.187?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,458 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.10.102.187/com.iss.finance.portal.ebank.login.service.CommonLayService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.portal.ebank.login.service.CommonLayService&version=*, dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,535 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.10.102.187/com.iss.finance.portal.ebank.login.service.CommonLayService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.portal.ebank.login.service.CommonLayService&version=*, urls: [dubbo://172.16.35.123:20924/com.iss.finance.portal.ebank.login.service.CommonLayService?anyhost=true&application=ifinance-ebankportal-service&default.retries=0&default.timeout=300000&dubbo=2.4.9&interface=com.iss.finance.portal.ebank.login.service.CommonLayService&methods=listCommonLay,deleteToolAndLay,saveOrUpdate&pid=7879&retries=0&revision=0.1.2-SNAPSHOT&side=provider&threadpool=cached&timestamp=1607514264082, consumer://172.16.35.123/com.iss.finance.portal.ebank.login.service.CommonLayService?application=ifinance-ebankportal&category=consumers&check=false&connected=true&default.check=false&default.retries=0&default.timeout=300000&dubbo=2.4.9&interface=com.iss.finance.portal.ebank.login.service.CommonLayService&methods=listCommonLay,deleteToolAndLay,saveOrUpdate&pid=7879&protocol=dubbo&revision=0.1.2-SNAPSHOT&side=consumer&timestamp=1607514245541, empty://10.10.102.187/com.iss.finance.portal.ebank.login.service.CommonLayService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.portal.ebank.login.service.CommonLayService&version=*, empty://10.10.102.187/com.iss.finance.portal.ebank.login.service.CommonLayService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.portal.ebank.login.service.CommonLayService&version=*], dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,540 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.10.102.187/com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer&version=*, dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,606 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.10.102.187/com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer&version=*, urls: [dubbo://172.16.35.123:20888/com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer?anyhost=true&application=ifinance-interbankcredit&default.retries=0&default.timeout=300000&dubbo=2.4.9&interface=com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer&methods=pledgeRepurchase,buyoutRepurchaseRedemption,pledgeRepurchaseRedemption,repostDiscount,buyoutRepurchase,repostDiscountRecovery&pid=7879&side=provider&threadpool=cached&timestamp=1607513008508, dubbo://172.16.35.123:20888/com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer?anyhost=true&application=ifinance-interbankcredit&default.retries=0&default.timeout=300000&dubbo=2.4.9&interface=com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer&methods=pledgeRepurchase,buyoutRepurchaseRedemption,pledgeRepurchaseRedemption,repostDiscount,buyoutRepurchase,repostDiscountRecovery&pid=7879&side=provider&threadpool=cached&timestamp=1607513008576, consumer://172.16.35.123/com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer?application=ifinance-billtrade-counter&category=consumers&check=false&connected=true&dubbo=2.4.9&interface=com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer&methods=pledgeRepurchase,buyoutRepurchaseRedemption,pledgeRepurchaseRedemption,repostDiscount,buyoutRepurchase,repostDiscountRecovery&pid=7879&protocol=dubbo&retries=0&revision=1.0.0-SNAPSHOT&side=consumer&timeout=300000&timestamp=1607512828854, empty://10.10.102.187/com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer&version=*, empty://10.10.102.187/com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.billtrade.interfaces.provider.RepostDiscountInterfaceServer&version=*], dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,613 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.10.102.187/com.iss.finance.workdesk.wkdif.out.service.WkdWorkDeskFlowObService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.workdesk.wkdif.out.service.WkdWorkDeskFlowObService&version=*, dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,690 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.10.102.187/com.iss.finance.workdesk.wkdif.out.service.WkdWorkDeskFlowObService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.workdesk.wkdif.out.service.WkdWorkDeskFlowObService&version=*, urls: [empty://10.10.102.187/com.iss.finance.workdesk.wkdif.out.service.WkdWorkDeskFlowObService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.workdesk.wkdif.out.service.WkdWorkDeskFlowObService&version=*, consumer://172.16.35.123/com.iss.finance.workdesk.wkdif.out.service.WkdWorkDeskFlowObService?application=ifinance-ebankportal&category=consumers&check=false&connected=true&default.check=false&default.retries=0&default.timeout=300000&dubbo=2.4.9&interface=com.iss.finance.workdesk.wkdif.out.service.WkdWorkDeskFlowObService&methods=queryToSubmitTaskSubCount,queryToSubmitTaskTotalCount,queryToDoTaskTotalCount,queryToDoTaskCountByClass&pid=7879&protocol=dubbo&revision=0.1.2-SNAPSHOT&side=consumer&timestamp=1607514245643, empty://10.10.102.187/com.iss.finance.workdesk.wkdif.out.service.WkdWorkDeskFlowObService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.workdesk.wkdif.out.service.WkdWorkDeskFlowObService&version=*, empty://10.10.102.187/com.iss.finance.workdesk.wkdif.out.service.WkdWorkDeskFlowObService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.workdesk.wkdif.out.service.WkdWorkDeskFlowObService&version=*], dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,694 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.10.102.187/com.iss.finance.bacc.mng.api.fincom.change.FinComChangeApplyService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.bacc.mng.api.fincom.change.FinComChangeApplyService&version=*, dubbo version: 2.6.2, current host: 10.10.102.187
